,date,delegator_address,delegation,delegation_usd
0,2024-08-26,akash1k83vral0cy76ult338mk7vewsfs6t25y6yjum0,99.291694,266.1
1,2024-08-26,akash1kd2exc404vrl7jhxpm6ej5jwphmue8fjl8xm7u,3990.0,10693.2
2,2024-08-26,akash1ksllkgreay5y6pdl4j3tesa5c2q08mjyzcsl4t,5.0,13.4
3,2024-08-26,akash1kesjs65gvr7zf03m0cvnd0m0n60cjzkzfudqwn,3.582834,9.6
4,2024-08-26,akash1h0y9kku57w4h75e25ts6dtjwrn5t7l06fjdscc,552.856742,1481.66
5,2024-08-26,akash1hn75s0hn2mhselejd5ps0609enaghlee4n2ufp,33.353687,89.39
6,2024-08-26,akash1hcquchvkr7r65flyflcf6rvjpz7xq02tgap9hs,7.986488,21.4
7,2024-08-26,akash1cr569nzdjnvan82mhvsn6cspqatek0at3e95ry,695.500001,1863.94
8,2024-08-26,akash1c2a04gpvk60gtc4w35mfrg4zl6kxazldffn4ws,35.0,93.8
9,2024-08-26,akash1ctruh4srdnj5skqwk85ndcsmgfaw85wn02hdr8,100.7904,270.12
10,2024-08-26,akash1cv8j3z8zhjhv9dnuu6q7s0qsgluq4qyda8dd9p,100.0,268.0
11,2024-08-26,akash1c35ad98af8tnygtcplgak22dqpupl0ruzqpfa0,100.0,268.0
12,2024-08-26,akash1c54p7zylpk8xst40v572kl4327v7e2gq4my0yt,159.5,427.46
13,2024-08-26,akash1cejrk8fngaqv6c8vxvn785869c9pu5s69nfyfq,0.64,1.72
14,2024-08-26,akash1cuqzj5sl9jdd3zq4havrj6tg39jj0w8q8u7zdc,300.0,804.0
15,2024-08-26,akash1e9a4r4e4vmkx2afk0m6t7l02llv58f2mcguw42,123.685925,331.48
16,2024-08-26,akash1e32rcak7hj95d2sflpkqavxczuse6pvykdu0ge,59.0,158.12
17,2024-08-26,akash1ejhgqttsncrjk28hxmeaa66cxwcgmj0p4f29jz,3000.0,8040.0
18,2024-08-26,akash16rmwfmxhc5swrr0s2qm9kq2egan2z9nyvxnjku,58.60506,157.06
19,2024-08-26,akash16ghf6zufz2gq8ewg5d6nn3aca3f23efp2xmudh,4.0,10.72
20,2024-08-26,akash16tgexnvy7354ul6ve08kqk8czar5eejf8rccr9,48.7,130.52
21,2024-08-26,akash16tmjr06gdpats7asc408kcgl0z6knxtajjsju3,14.2,38.06
22,2024-08-26,akash16vckt45klm3vv6ek8s5d6t6akrgp234gg0jmfh,120.0,321.6
23,2024-08-26,akash16sm57wq57pg057f2nd27xncpzz9jwzvanmh9yh,20.0,53.6
