,date,delegator_address,delegation,delegation_usd
0,2024-08-26,archway1qq9vqw8pxh6t3y445x89ky663nkvt4tedvcu4d,250.0,9.36
1,2024-08-26,archway1qd6wj55nhec5felwjl5h96x6mkkw7u9yvph3m4,3002.3957541968934,112.35
2,2024-08-26,archway1pzmzdd4enwl203mdxyt3fftwxvl7f7u7a457d9,112.0,4.19
3,2024-08-26,archway1prkt7s379wupzh8nmuefa9hw5xyddqwkx57dy6,40.253194866563724,1.51
4,2024-08-26,archway1pys6x65gg70vxph3f7vqguclwj37zacxqx0grz,499.0,18.67
5,2024-08-26,archway1p8jt48s9x7jwu66dh5q44p3r9uyhytsqe0kgn8,73.0,2.73
6,2024-08-26,archway1ptxfhlh83vp9yxkgfjffvxrp226jc6xq2lhmze,100.0,3.74
7,2024-08-26,archway1pvxyrv9947p593kge6tq8agpryktfgf59aarx8,178.0,6.66
8,2024-08-26,archway1pvjdpz5t23hy7wfv30cj03hhs3rufkpfy7gqvy,51.266447405128396,1.92
9,2024-08-26,archway1pd6v70ta0smp448c07ctfpa5f2jpu5tyy5wg9j,184.0,6.89
10,2024-08-26,archway1p454fm4rerxddn0uppen8hvckceylf7ptkkkt7,500.0,18.71
11,2024-08-26,archway1penglcm6kls4qxa6pac8t8ntjagugcez39llu0,100.0,3.74
12,2024-08-26,archway1p7pxhn6s25qjrjlqgvxa8q35mp6rl099z3elzg,572.1627526094933,21.41
13,2024-08-26,archway1z9tc2ln0cak4p4v3xld567gd4rrpxmdr8qyg4l,999.8135582170568,37.41
14,2024-08-26,archway1rd5py3f8nxff5d2appg8zqfxhg7fu4zpja8j7j,30.823899468335046,1.15
15,2024-08-26,archway1r54xcpm6ujh3tkr3m0x90fppc3fqrtgaktlgf3,1038.163780894488,38.85
16,2024-08-26,archway1rknsgmcalyetzt4uz5addsrd8uwlf22zhv3tze,499.0,18.67
17,2024-08-26,archway1r7d6mkjpwracqdv90rm2kdgewmrr8xwus9vufp,75.29267525747248,2.82
18,2024-08-26,archway1y9eeddpen90a8aaaykrud8fc88ag2f935u8sz0,82.0,3.07
19,2024-08-26,archway1yvr5w8cmcsqec03pa9vpvdnm20w3kundkh8tdj,266.0,9.95
20,2024-08-26,archway1y0xzmmfmt9uukkswtpv503c7na9leeajwpcqqa,1000.0,37.42
21,2024-08-26,archway1ym6xqumjjts6qxk7ne2ay4a4nq8k2qw9g0kfaj,36.0250324,1.35
22,2024-08-26,archway198krlt4uc76n050p4f75c28wl3rtw53m5khatg,236.0,8.83
23,2024-08-26,archway19g0v222wacdfealv3fxt2nkamrrprwa763n45d,500.0,18.71
24,2024-08-26,archway19dylgdkf4gqnmv95yxw024gldsg4aahy67sh3t,65.0,2.43
25,2024-08-26,archway190z2tsk65nqqknhsgp6hplqntjccj0ag56nxua,235.74118142182388,8.82
26,2024-08-26,archway1904h4pkdezcm7xcxrcum7cckr4wel3kavssuzf,201.0,7.52
27,2024-08-26,archway19s4eslttt3xkhtn2f23pzjjkqtxmhh5ce4svvc,132.2220362,4.95
28,2024-08-26,archway195khh6nr3zsvaxkm53wavkxv46uucdlakanjg7,201.0077088913727,7.52
29,2024-08-26,archway19elagz5ck6klp3yfd5g0jxrczlegvmgdjgnqtn,140.0,5.24
30,2024-08-26,archway1xwseskrmnxrvesmad0xtyfvl3lx7xzkk7209uh,4281.702988419591,160.23
31,2024-08-26,archway1xs8d7evsl294ufazqafw84tj9dfphny90lq2pr,202.0,7.56
32,2024-08-26,archway1xh8ydf9rqxtyg7txh56wrcysadk3htflaccvt9,550.6382395033659,20.61
33,2024-08-26,archway1xuwl7x8htyl26t7pe3l0x6auj3j9jwd2ha3e8j,63.704402,2.38
34,2024-08-26,archway18svlnyrlt0kfh7t2x8extv7wrw2gc7xs3qcgtf,31.298810907630966,1.17
35,2024-08-26,archway18n0j6vw9gp3r40wrewk48mwyrrm4tjl3zs2xg6,80.0,2.99
36,2024-08-26,archway1gzr8qv7dp3dzx0a6mya78z5jr3qfeyt9sdtx3a,990.0,37.05
37,2024-08-26,archway1gz4mehlelf7lf53kaa8n4w7ncp9rd745djpfl9,38.0,1.42
38,2024-08-26,archway1g5urq7wqff2asddv2jwefadhhnsre2ss2mf72d,201.9,7.56
39,2024-08-26,archway1fpr70ct7yxjajlwqftuxramwsp3v9etehhqfp5,510.0,19.08
40,2024-08-26,archway1fp7lar7valvpajdxealzhaf5julcpvrlszvctf,785.0,29.38
41,2024-08-26,archway1ftyy09q8y2myzqj2t753vymr2vue75msgn9mfh,35.0,1.31
42,2024-08-26,archway1f0urc2u0dd3ne6yl28armthxkfhz39sz2a6rpm,200.0,7.48
43,2024-08-26,archway1fn7gfyupvum3y034p5cklupgdeh278lqq30vxc,50.0,1.87
44,2024-08-26,archway1felf6j5qwz4snx575tyknywg5uw4kr2n89kdg2,104.0,3.89
45,2024-08-26,archway12yrtv939dp2l3kscnxyzxv07y9wyhj5umlhmrh,700.0,26.19
46,2024-08-26,archway12g9tv7kzg06nx28szkvp7ud5jywpqv9sntjt2f,30.0,1.12
47,2024-08-26,archway12dzj8j4c8vdpc0kgkytnt5rel836dfwz7g0x2l,101.7014608286926,3.81
48,2024-08-26,archway12saxy20x0x3n7efuxpfeq4jqp0vqpazy3jfauv,68.2610366573351,2.55
49,2024-08-26,archway12kct4cfuwh7vevec7c4y9slmee949qrjqrxftq,582.4164672588648,21.79
50,2024-08-26,archway12eqcvr5vu9xy5hlrrpxgg7lvn5jqqgals5qu73,1005.0,37.61
51,2024-08-26,archway12lzvcacrthkmx33dkxfce9pffnuazz5efqrrwe,28.5,1.07
52,2024-08-26,archway1tyj3ls8w296a2pjn3ysyrjf9v0q0gfjyrg923n,40.0,1.5
53,2024-08-26,archway1tym288c48szfqcerrp57cvg3xl9ka5uukaey9j,1550.0,58.0
54,2024-08-26,archway1tshwngxafaaetznslcppa8exqc0zhfr43k5s5e,1380.0,51.64
55,2024-08-26,archway1tnr7wr7uku6jm48ad6x3xjef4c3l2fk4sy7ja0,174.0,6.51
56,2024-08-26,archway1tnnhrqpm8rxj7xja5jcu2vmlv2yxz5nalejgq7,60.59298787495686,2.27
57,2024-08-26,archway1tc2hll3wfhu247scwnvu6ppgrwgc6sjzjjgnyy,1190.0,44.53
58,2024-08-26,archway1v0ehs85us8r54gjun5cm0yqau5a9h6cf2qhs34,50.0,1.87
59,2024-08-26,archway1vnfvs3qjrsavaqw6czcysh5v64sqjf487huz4m,237.60007033138163,8.89
60,2024-08-26,archway1vemmttg4c0lsqwsdhrjc24ktaahfnh9hjgexvs,275.0,10.29
61,2024-08-26,archway1dghez2knque5rf8skvz5cmfhrqh6vgslmjd9a4,491.0,18.37
62,2024-08-26,archway1d0dgkpdudvvxq9h2hu2lnt6zkqqxy4wkahaqrw,47.8287372,1.79
63,2024-08-26,archway1dsq074k5h7672fa2pqrjek06u8vw9az3hdnj4p,2997.890224644996,112.18
64,2024-08-26,archway1dsvrk5y6d3sdwcrmwsxduguujt2znrkh6vx00g,340.0,12.72
65,2024-08-26,archway1da85gjhaupl8ae7ee66sw9zh585uu9j32xznqk,1115.332546498739,41.74
66,2024-08-26,archway1wqzftr5zh7fagyrptw9e3tx28teg3yw8u6xyv0,37.2286391,1.39
67,2024-08-26,archway1wy8ym5kgvf7tyjpzgt5nlvryvpc35dkh4fk6x3,1500.0,56.13
68,2024-08-26,archway1wf4kju2u4fcagyveg86az63cdfpncl5wpl4dq9,34.8287372,1.3
69,2024-08-26,archway1w6cf5r94q0k8znh0sgpnzhkqlkk38fhzd2ln36,185.0,6.92
70,2024-08-26,archway10y6p0f0srtsgxqu9glu60wr2962jn6f344kq9k,170.0,6.36
71,2024-08-26,archway108clnpzvvdz0dggjlpxp6dxuudq99ks6wxe0ge,594.0,22.23
72,2024-08-26,archway10tdzve88uxc535vc7qavy0ddcfftxct7npte3u,500.70145068757193,18.74
73,2024-08-26,archway10mmevhxjthxy7yqdaufcxpe0l20u4n8zfr4l75,29.2287372,1.09
74,2024-08-26,archway1sz8xpdr2jj4q42dk8jk48yksg78aa4vy85ej5t,75.0,2.81
75,2024-08-26,archway1sf9n388a8udalajcndyetvtk95dg5puxasye3t,36.0,1.35
76,2024-08-26,archway1st9y369mkl6ymwftzyms60s9j8l92434vp8p0u,1520.0,56.88
77,2024-08-26,archway13qmz4tnvqjuyfegnle35farscnz4f0avmp8hzz,100.0,3.74
78,2024-08-26,archway13959x7zm49jaeyrfeltjkwz8adu8p0r06qfwkm,50.0,1.87
79,2024-08-26,archway13t2w6pv5axcrc52ge2x4g8kswynwc96gv0qaqc,49.1,1.84
80,2024-08-26,archway13vuu98ygysfe8d847a4zlsds2vuw8q68s9w6s7,695.5,26.03
81,2024-08-26,archway13nhchq4c68kfdqtxpq779pzs66revx34nq0f2p,50.3118304,1.88
82,2024-08-26,archway1jy3ygr6kldcyqcr2yk9z5hen5lgj582732ujdh,1500.0,56.13
83,2024-08-26,archway1jvm8gy4lgzcrsagxpyhvvxymz982y3j5x3rr39,1041.0,38.96
