,date,delegator_address,delegation,delegation_usd
0,2024-08-26,cosmos1qqzu8h7s7xdj2pwm03zxuyazje7d949zccvwnw,10.1,50.8
1,2024-08-26,cosmos1qqxhjyzxydpmhwnfftcyetlgvhp7fm6uhs6s9t,1.39,6.99
2,2024-08-26,cosmos1qqjqrv8s0tpcmr9memymzu2c78jzjesv9q0kfw,1.08,5.43
3,2024-08-26,cosmos1qqh7frl7vlsrap9vyl0ccwxfmq9rqz495qf3vg,25.0,125.75
4,2024-08-26,cosmos1qp2nwt7um8ufvu843mxxk46pyf7jmsmnrnm303,0.9999,5.03
5,2024-08-26,cosmos1qpddsxd4lz9r5wrhh2ej2aznucrwcw5ntychhp,15.0,75.45
6,2024-08-26,cosmos1qpahd6sfjrm9n047xkf6a259vxdn3x3gqrv7j5,99.9,502.5
7,2024-08-26,cosmos1qz02x57fyjdzs5emzx4mvvgx8vpgv7ftdxjdq8,70.0,352.1
8,2024-08-26,cosmos1qzm4kha93kt8tz3llgc2gdfengqv29crwes6qh,10.1,50.8
9,2024-08-26,cosmos1qzmu3y33vhwhexwwtctp7e3fn20qnfphjr25jj,64.9935,326.92
10,2024-08-26,cosmos1qzu34xw9hh5jndqsex73gydjnr5ck6gj2kvfwy,5.324915,26.78
11,2024-08-26,cosmos1qr0u3wf63adhan5ejczwnuxk8c2l69sqm38ayg,54.120457,272.23
12,2024-08-26,cosmos1qyk3neu82kuevar3gppwm20wsmythgrz0dautl,77.4522,389.58
13,2024-08-26,cosmos1q9h86tkkkcwh62qggvh9hcsfztuvzg2elk8rqe,9.999,50.29
14,2024-08-26,cosmos1qxzkcy8j8s4gtm0c9mncdn5g8eq4a3e0ac9s4j,30.151733,151.66
15,2024-08-26,cosmos1qxy79ua77ldseke9r4eefvlu9yxp5f5k950qgr,25.9,130.28
16,2024-08-26,cosmos1qx9tyhtq7ke3v2tfcvlv2f2gg00hayfzaps4gh,10.872852,54.69
17,2024-08-26,cosmos1q8qkghenqacqeq5phgmny42pfuxmmuhlwcd23w,18.79812,94.55
18,2024-08-26,cosmos1q8s7ncepqfuxcgds7dm5sf3kvtsj8x6n0gy3zl,59.0,296.77
19,2024-08-26,cosmos1qgp48apgyxfru7v2v37jmytw6stq432864vjx0,31.11,156.48
20,2024-08-26,cosmos1qgpkfqpcaq6u4ct2nrqrtkty9qkw4jrsae646w,9.1,45.77
21,2024-08-26,cosmos1qg0knmvrv7vht695kadkck0dpsqfcpkt0dnfnv,1.0,5.03
22,2024-08-26,cosmos1qfqgkgnwpqcyndqkfjh0anfscja5gu36740rlq,51.0,256.53
23,2024-08-26,cosmos1qfh6ml8qdl5ygmxcq3u0ns2vprnpeajx749m2u,60.01,301.85
24,2024-08-26,cosmos1q2yjru58ap4l67g3w6ngtyspkk5edrz9yxwvk2,500.000109,2515.0
25,2024-08-26,cosmos1q2glzcjnxu8r3usulev7uqr0kq2md6k0q08f2c,81.993133,412.43
26,2024-08-26,cosmos1qt9lvn6nhxjurenxajx2dsh42ksydk02nsfh2z,200.0,1006.0
27,2024-08-26,cosmos1qttfz72hfedhvlxar66kltgvdcxlvf0vtathm6,17.0,85.51
28,2024-08-26,cosmos1qts3felh4k4fqfcgju4srxg82qtnglnsnjjard,25.09749,126.24
