,date,delegator_address,delegation,delegation_usd
0,2024-08-26,evmos1qq94aq7ax2ayh26t85t5ffemxm9243c4fcs3l4,75.0,1.76
1,2024-08-26,evmos1qqn3uff46ux75mtx9qejdy802mmkhsseuzpq88,50.0,1.18
2,2024-08-26,evmos1qzpwtluaaa40vrlfhu6a38j3yk2u4a5987px2j,78.74575258091969,1.85
3,2024-08-26,evmos1qzrlgphf432ky20vyxtujstgwhq9t7uwfemhg7,80.0,1.88
4,2024-08-26,evmos1qz2f5jz3usuace4a9qqg7vvt0zyvc4afmax6lp,1931.7063116705583,45.4
5,2024-08-26,evmos1qz0q27229ttwwml57yuye6ftrk63ks7llzcdw0,821.2659406100627,19.3
6,2024-08-26,evmos1qrp53g742sf2tdhzv7dvyughh389h6n897uqqn,863.0936275546281,20.28
7,2024-08-26,evmos1qrxf4mte502qk5sp5vd0l7xtg780l85erxla7c,116.71584303930928,2.74
8,2024-08-26,evmos1qr4x050xe2uhn988tjqqh3jm7ce9nzqzp5rfn2,60.0,1.41
9,2024-08-26,evmos1qrhcjsk6c42f8y0vuexgng4y6y6cz5270g33hp,101.0,2.37
10,2024-08-26,evmos1q9f5gs8st7l09j4hz9phj3uguvz5l60ljcj73n,73.4259167198608,1.73
11,2024-08-26,evmos1q9apvhgx8zussld0sydglsa0h52fj8yhd5qpx4,50.0,1.18
12,2024-08-26,evmos1qxr0n7g850atm5mxr5wn0g9zxwx0wvuey8q8r6,61.05817832092237,1.43
13,2024-08-26,evmos1qx9pp4s3tgdn692kytj43l6z5chnl9llped7rj,207.2781013167981,4.87
14,2024-08-26,evmos1q8nfvurcvlcwzmv9ajkfxncqgpgw7785mlj5nn,212.13551697895622,4.99
15,2024-08-26,evmos1q8lxda6608tye03xqdn5tmhvg5nmcpw87fd36p,167.63747722230482,3.94
16,2024-08-26,evmos1qgqv0fv3hre0nd835l5w4z67kyvfvlvz8kxe3m,142.30335783519925,3.34
17,2024-08-26,evmos1qgafmf8zelysc0gf4y8pj6hnv5mq893ejrtyal,74.43235329567008,1.75
18,2024-08-26,evmos1q29xafrk8lk0evdj0zsm08v9s3xp9vy7dskv2x,127.4682033871932,3.0
19,2024-08-26,evmos1q200v7snqtx3m6d3uj4ex6y3lqnnlh4ju72kke,574.1274988603171,13.49
20,2024-08-26,evmos1q23m5mtcszel7n90dawwrv7qqschn7qkhescql,50.100015630050876,1.18
21,2024-08-26,evmos1qtjl9j38d5scam5p64yxuhlvlw4lh4zsyk4tk7,52.0,1.22
22,2024-08-26,evmos1qvtm6kznkkvjpkcg7js8ja58euvmnkulxjd3fe,100.0,2.35
23,2024-08-26,evmos1qv3rst4eud2ju0zk0sqqj7uf5q9y8vq0uuqmqs,56.1,1.32
24,2024-08-26,evmos1qd9uzyqc4eass95y47se2323z8t0srtfane75d,353.43586731843936,8.31
25,2024-08-26,evmos1qd08exf75298snne6369rrp64m28y5rctw6gdz,392.4859098101002,9.22
26,2024-08-26,evmos1qwzltuehk2v5272usprgu58n6ze589f578vdgt,50.0,1.18
27,2024-08-26,evmos1qw0xugp2pqxpmfugpe4lmss4gvd6hcwewgv8m6,105.25000037577547,2.47
28,2024-08-26,evmos1qwms9hyjllhcpr4s79k02uaz0xc3u7da9axs58,401.63525264747875,9.44
29,2024-08-26,evmos1q06ps62f7t4dza9n95rlqrcd3kdupg5nzxtj48,86.65631484079535,2.04
30,2024-08-26,evmos1qsghxxlrkl96gz0dusm5w2m4qpp48kq6nmgqeu,127.67496095819953,3.0
31,2024-08-26,evmos1qsccuvekvye3hvj2dm0a40t0qwa6nxwmwtkpgn,476.28419183530735,11.19
32,2024-08-26,evmos1qjquzpj6377s5xrf5235hv6z49yt44rhfq26mg,50.0,1.18
33,2024-08-26,evmos1qnmsay52kpzpxwguzxhg42pfenjsvcgefelezf,100.9995000044064,2.37
34,2024-08-26,evmos1q5qg0sfv2d7g3ufu7pq6jpj6wnnzf4cygj3jnh,52.0,1.22
35,2024-08-26,evmos1q56lsx46hgxcxx67gu0dk4m8evavwglj8sp0qr,125.0,2.94
36,2024-08-26,evmos1q4l64k4yfmtprgskxukweajwtn3zrc57a94y5r,177.69792118779316,4.18
37,2024-08-26,evmos1qh8hxsl3dmdu64cqjt77zknktpe85g8608vth9,74.27813763744022,1.75
38,2024-08-26,evmos1qc8lfah2s464xpcg8el3mm2w88psgdc7w5vtgc,1047.7343907323998,24.62
39,2024-08-26,evmos1qcg8zjlprujw797res9sg3pm6w9auqkypre947,548.0139563545254,12.88
40,2024-08-26,evmos1qe98dza5u70j9wsdev796fpp4ced2yqrz20u8z,100.01,2.35
41,2024-08-26,evmos1qe9d759s3sfd36xffek4w3xnrnfgpdx44zk8aa,306.2683063737444,7.2
42,2024-08-26,evmos1qejtzecchsvuxqnyrdxf59ey7w7m3q3nmp86v8,1647.5000000000002,38.72
43,2024-08-26,evmos1qe4c3p8wlydmlakdh7cldnea2c3tej0hmgthtq,210.04017276635054,4.94
44,2024-08-26,evmos1qehh93q50sgldnqvsu043882l0adyv8k8yyjy5,468.25,11.0
45,2024-08-26,evmos1q6zysa0kur7yc4xym55ncclyyhc2qq5v2helr5,436.49616744461827,10.26
46,2024-08-26,evmos1quzjztr7une6ejrcl67rx88l3n553nl0ay04ns,50.0,1.18
47,2024-08-26,evmos1qu2vxepex74dwtd2y3rx9pgyclactggskzkslp,76.60051779083867,1.8
48,2024-08-26,evmos1quk8lzdzegsn0k5q3h4d77z9v7p654j7rkn555,50.62719222019439,1.19
49,2024-08-26,evmos1qaj8mpc0tt3gyqvxenp8m04v72kynzlxkrd2pj,427.30737711424126,10.04
50,2024-08-26,evmos1qamgrmzrmnqeepmx7eskpnvjprdtp3xnvlaf4v,214.78707338179206,5.05
51,2024-08-26,evmos1qal2j6f76e9f3xxrrstsmtvueuxcx0ggfqvpng,357.2216808542677,8.39
52,2024-08-26,evmos1q7tr3t3wh20tk0s6vmmuxlm634c2g5jg2vflw3,76.60055080037712,1.8
53,2024-08-26,evmos1q7we2elx04kgxdf7c2rup3dp9wcm843gqhzm3y,118.0,2.77
54,2024-08-26,evmos1q7jzslnel90wlpy7fn2pmtkggf9rurt6vym4qt,72.41924629311326,1.7
55,2024-08-26,evmos1q768xsml9kgyt4mknv6lem89d3m8sxnmqk7zv2,51.0,1.2
56,2024-08-26,evmos1qlf59mc7ujdwguw5xw8lxsjmtv4qyxfg7xrhs2,98.59092132111653,2.32
57,2024-08-26,evmos1ql6cuq8ls4s2nunrv3vv8t74j8jhc0ccuxldqw,106.40120039586725,2.5
58,2024-08-26,evmos1ql6eggyj23y94lwxzdvh90t9eyxtefu9jqxrcs,50.0,1.18
59,2024-08-26,evmos1qlug7m4x6z22z4hrh5p8f4y6p3e09uluzjzg6x,201.02147758940924,4.72
