,date,delegator_address,delegation,delegation_usd
0,2024-08-26,juno1qpp5t6hm49mpzx39vqg2lfaja7xld4l3yvr7js,82.278489,8.59
1,2024-08-26,juno1qzmu3y33vhwhexwwtctp7e3fn20qnfphy3f04w,80.0,8.35
2,2024-08-26,juno1qr9x6mdfmktv0rcj2t9cgpje32mfsj7u28nvqy,100.052381,10.44
3,2024-08-26,juno1qy9syn2enzfufd0deydhpn9jmshc5vs6z2wvhv,68.712131,7.17
4,2024-08-26,juno1qya7ft87wa428cey9kqwuvpl064remequr36ku,71.422404,7.45
5,2024-08-26,juno1q9gu9wvpq48u5hz0vjn2wwetx0n63fq77dmzrt,281.215267,29.35
6,2024-08-26,juno1q9kh434zslyxpamaafufa5w3fyxltyh5lxz4ql,27.091911,2.83
7,2024-08-26,juno1qx0ergsuzneaz9ck3t04vzx0d343ns2225lv4y,150.401711,15.7
8,2024-08-26,juno1q8qkghenqacqeq5phgmny42pfuxmmuhlc2w3kj,62.118349,6.48
9,2024-08-26,juno1qgme8vlq4ly8tcye6xdgxnz4khzq9es0v9edu2,135.0,14.09
10,2024-08-26,juno1qfsc2tksks0797mm6rlq76wy6fg6m8zkh24ntu,99.154071,10.35
11,2024-08-26,juno1q2glzcjnxu8r3usulev7uqr0kq2md6k0kayjdy,40.122974,4.19
12,2024-08-26,juno1qwcnt7nu7s4tvwp3qj8s2234qnfx036svx9ura,85.233703,8.9
13,2024-08-26,juno1qwmuq7wlspvfextwqaqs836wq48nqm3yuq64as,260.393,27.18
14,2024-08-26,juno1q0uggfrfuk6refvkdcthvjq3emwfu0d7gf3k56,132.513293,13.83
15,2024-08-26,juno1qsyhrc3swmxlyjzh2g3n8a30y066hmd8ru74sz,218.649579,22.82
16,2024-08-26,juno1q50hkqt3lx3d9lpsj523n0qj3epr9hfsvyu9wv,10.0,1.04
17,2024-08-26,juno1q4jarumugqc4vvmq2cy6fjddwfje95v4tuxaqz,500.011,52.19
18,2024-08-26,juno1qej7h76hy9xrdsse3df5q7vzvqr2xfvg2829kd,121.174129,12.65
19,2024-08-26,juno1quwr9k7vsfmf6ck9x4cz59tmhf2wcwjh7l6dj9,50.0,5.22
20,2024-08-26,juno1qazw2n4ksnhsjt2e4u035mptqfghlvyxpzw6ds,10.0,1.04
21,2024-08-26,juno1prkt7s379wupzh8nmuefa9hw5xyddqwk9dpjf3,29.772474,3.11
22,2024-08-26,juno1p8ztsllf94jsyqh7jemcsu4rll5hl6qv53csnk,10.8,1.13
23,2024-08-26,juno1p8epswmef4uwcr44guy3427rkaht08r5pcn69q,77.247882,8.06
24,2024-08-26,juno1p2w2edw2zaxj5574frneehes5sk0eumsz0y09n,13.439853,1.4
25,2024-08-26,juno1ptvvlzztmkj7gshh2fqtj7mvpyr4kup8qe5233,150.593848,15.72
26,2024-08-26,juno1pvxyrv9947p593kge6tq8agpryktfgf5xyzutv,403.190542,42.08
27,2024-08-26,juno1pvsvwwufkw7rztlhele3fz5sd7zc90lz7wht9k,40.0,4.17
28,2024-08-26,juno1pvjdpz5t23hy7wfv30cj03hhs3rufkpf88hlp0,40.0,4.17
29,2024-08-26,juno1pd6v70ta0smp448c07ctfpa5f2jpu5ty8d3hge,15.5,1.62
