,date,delegator_address,delegation,delegation_usd
0,2024-08-26,omniflix1qqays2hpyw2zy3qhvvvhp8w953hqc8lamrskh2,2734.368271,379.08
1,2024-08-26,omniflix1qrja06c3fwzef9dl3dd7hg9qmhn8ynna6ycpsf,9000.0,1247.72
2,2024-08-26,omniflix1q2glzcjnxu8r3usulev7uqr0kq2md6k0a3ksax,57.754893,8.01
3,2024-08-26,omniflix1q08n0593ptd7y2q6ntyhptxzgfgg6uw3us56f0,190.515998,26.41
4,2024-08-26,omniflix1q3z9j333a8x9uewemk92qcvlnuqna9j4q789ta,32.970746,4.57
5,2024-08-26,omniflix1qm9gkn8xrs87z57z4reevevjy4qztkdtxfgdw7,340.0,47.14
6,2024-08-26,omniflix1qa5hz4tm5njlqqnkzchaqqtpcekjg2s7a3s7c8,4464.285714,618.91
7,2024-08-26,omniflix1pqp2f4p0uvl2jymy4hls69j3jgu492uemvwzhj,1119.0,155.13
8,2024-08-26,omniflix1pzekdznjw43wfphj50urv8n3vz24s4cmuvpyzx,1125.0,155.97
9,2024-08-26,omniflix1prw3hzul0wnd47lvkfead6tpxkacuwg83ews30,32.0,4.44
10,2024-08-26,omniflix1pxu39lh7xt53tmsxmfzyltev2ke995lcd4h88d,38.49118,5.34
11,2024-08-26,omniflix1pf7cl50v6chxesycpu0jx46fsuk6hfyqjftutd,382.490083,53.03
12,2024-08-26,omniflix1pvjdpz5t23hy7wfv30cj03hhs3rufkpfvt9a3d,821.068797,113.83
13,2024-08-26,omniflix1pvcn0jjv2mugdevlue9vj2ks7ryjgtccvxlxnv,1000.0,138.64
14,2024-08-26,omniflix1pd6v70ta0smp448c07ctfpa5f2jpu5tyvpr4cm,1601.059557,221.96
15,2024-08-26,omniflix1p36r9qtjvax602d9clsyxwx5wzl0syvxz3wc6t,100.0,13.86
16,2024-08-26,omniflix1p45jy6rvs7m9ju9wvzdv4pauhg49wpjhhe3umw,7080.0,981.54
17,2024-08-26,omniflix1penglcm6kls4qxa6pac8t8ntjagugcezesjzpx,36.0,4.99
18,2024-08-26,omniflix1p7pxhn6s25qjrjlqgvxa8q35mp6rl0992y5zlp,1597.610818,221.49
19,2024-08-26,omniflix1zqg753ll6zf85nzml67ure8zqqkpyvw8fchars,100.0,13.86
20,2024-08-26,omniflix1zyvmr807h0ph5uq04gdflg5jsvphfdsnr4cxus,655.946479,90.94
21,2024-08-26,omniflix1z9tc2ln0cak4p4v3xld567gd4rrpxmdr04f4gk,1986.0,275.33
22,2024-08-26,omniflix1zxqgxxe84g5racwfdcwjyn4hfa98e2g4g7y7gf,55.787749,7.73
23,2024-08-26,omniflix1zcy7h9vpj2g4w0xw3ta3ky977z6e6ht0c0sk57,143.0,19.82
24,2024-08-26,omniflix1z752hx4mptrqxc2z3mqu602yglhys9w9nas7hr,30.0,4.16
25,2024-08-26,omniflix1z76mrew6q6644nyrflz9qhtzshv56wk759e0qa,37.712096,5.23
26,2024-08-26,omniflix1rqjhlm4vny43qhupcfvdvl0t3pau6hjf576eu9,50.366505,6.98
27,2024-08-26,omniflix1r9ua3ulh34d8xpzql535zyse84vtn430nlszag,68.280493,9.47
28,2024-08-26,omniflix1r8sktk44jpu54zsu5rmdcgc7jgjcs9v8ag0m8d,53.0,7.35
29,2024-08-26,omniflix1rf37n5u8c2q56p8lk32u7jlpkq2rt8clzpzhzd,1504.104731,208.52
30,2024-08-26,omniflix1rsz009hwhcq35du5tes7qs2zklnmf2cmy23wpx,500.0,69.32
31,2024-08-26,omniflix1rsntu55zwhlhcfghh2wtzsxkr67qszupmn49e8,4519.5203,626.57
32,2024-08-26,omniflix1rnjg0pku64uhfrz4uqwe39huqfug59tq6qcts9,100.0,13.86
33,2024-08-26,omniflix1r54xcpm6ujh3tkr3m0x90fppc3fqrtga77j45c,5306.580151,735.68
34,2024-08-26,omniflix1rcyvcphjhx47kqnk846tp63jdntz5ds6vkgdqa,200000.0,27727.2
35,2024-08-26,omniflix1yfgvyv3jxact4l6vkdfs0kdtsfvkd0chwptshs,286.21992,39.68
36,2024-08-26,omniflix1y2gv8aspkzr48wmwh5zff2s02kn7dkk6s9twjr,871.554208,120.83
37,2024-08-26,omniflix1yvr5w8cmcsqec03pa9vpvdnm20w3kund7z2ksm,162.152085,22.48
38,2024-08-26,omniflix1y5w475h24mv5k7zqzzhyrzakh42pf67sf706d9,203.654961,28.23
39,2024-08-26,omniflix1ykgppd952ykvr2r2d83f0h90fffp7kdnw5fu57,158.364096,21.95
40,2024-08-26,omniflix19ql3t6m2lj4t6ftqku55um6ax0r4g72xfmu9dk,129.0,17.88
41,2024-08-26,omniflix19z2u5wr25q9el0pvx4m3x6ce5zrax36gvuetjc,167.0,23.15
42,2024-08-26,omniflix198krlt4uc76n050p4f75c28wl3rtw53mur6qkp,111.509022,15.46
43,2024-08-26,omniflix19vfm3jtlhwyjng59causplzk4w4unf7cxfxeza,1299.017895,180.09
44,2024-08-26,omniflix19dylgdkf4gqnmv95yxw024gldsg4aahyjta2vz,1025.854724,142.22
45,2024-08-26,omniflix1904h4pkdezcm7xcxrcum7cckr4wel3kay9aplq,105.0,14.56
46,2024-08-26,omniflix19s4eslttt3xkhtn2f23pzjjkqtxmhh5c3qa333,30.6,4.24
47,2024-08-26,omniflix194swukntjr22803e7j73tssvcnrchpg3jxcnd4,2899.0,401.91
48,2024-08-26,omniflix19kva6tm9wpeeac8v3mx0kvdf45puejv4cats9q,9.599288,1.33
49,2024-08-26,omniflix19kdja0sv2v98jus6exdwxv0xt9tv7yhk8yd826,11.048351,1.53
50,2024-08-26,omniflix19cn7cyx0a0lffdrzqnl0fqwecf22jyncj5aamj,10000.0,1386.36
51,2024-08-26,omniflix196v3k5dxxt48u5aawr3hnjee0ydr3f5yp5a3yd,100.0,13.86
