,date,delegator_address,delegation,delegation_usd
0,2024-08-26,osmo1zx90dztp8f9kcnmg4hggvwz7r0rx0cjk0a9w26,200.0,88.68
1,2024-08-26,osmo1zxk9h3434pgwc69k6mvmawmkhc97zruc09mn76,109.714454,48.65
2,2024-08-26,osmo1z8djxj94f85fvxvm5gqn8dve9a4m55gq9hwzaf,10.0,4.43
3,2024-08-26,osmo1zgd6069zp596w50xym0rw3y55xf5srjnturd7c,277.197077,122.91
4,2024-08-26,osmo1zghlnusg2g70ll7lrzl400vhqfvvuencs099fu,26.857602,11.91
5,2024-08-26,osmo1zgaj2w950llsludydz5xmcp609uk02yse3w425,740.0,328.11
6,2024-08-26,osmo1zfy3hkjcphpefh2rqmwdv2uu8zxm9vfcrgt7cw,10.149173,4.5
7,2024-08-26,osmo1zfdzjyzl6yavjf2lv6llaraxct9z2cyllcztk9,70.256209,31.15
8,2024-08-26,osmo1qqh7frl7vlsrap9vyl0ccwxfmq9rqz49um6p66,150.0,66.51
9,2024-08-26,osmo1qz02x57fyjdzs5emzx4mvvgx8vpgv7ft9apak4,125.0,55.42
10,2024-08-26,osmo1qzmu3y33vhwhexwwtctp7e3fn20qnfph6ceyyq,50.0,22.17
11,2024-08-26,osmo1qy728jfmkcqqd7p2e4cjffywcgrfxwqn76exgz,5.0,2.22
12,2024-08-26,osmo1qgme8vlq4ly8tcye6xdgxnz4khzq9es0jvfxdy,29.314837,13.0
13,2024-08-26,osmo1q2glzcjnxu8r3usulev7uqr0kq2md6k0g55eu2,125.179382,55.5
14,2024-08-26,osmo1qvvx9klz3l7xmv20v37ytzw62ddjsj8xntcmge,33.308552,14.77
15,2024-08-26,osmo1qd3lpyqss5xavs5x99slpf3xdyae9gnsarunzy,108.0,47.89
16,2024-08-26,osmo1qdk93dynkz7nv7ljqk2rfh9d7w00gdzp3cw344,143.0,63.4
17,2024-08-26,osmo1qk7sz3u6cyl90dwjgtdjzmks5rm07f8ztzdz25,75.600705,33.52
18,2024-08-26,osmo1q6wggfckezctfshu98g5s4kqxnky9reuem06wu,23.0,10.2
19,2024-08-26,osmo1qac2zc2mehtgw2v446n6n8uvdqvqa3w62zr7hw,130.0,57.64
20,2024-08-26,osmo1ppuprz7y8dmkw6a26dpxd6pc8nvnuq4mkst0uv,302.188796,133.99
21,2024-08-26,osmo1prkt7s379wupzh8nmuefa9hw5xyddqwkmy3ecl,292.348186,129.62
22,2024-08-26,osmo1p9td8u6tunvvaf3ckl2n6lca5lrhu7ll5x9t74,223.461835,99.08
23,2024-08-26,osmo1p9hx5wxh5566hjt2dasq85n3j77xe6dpdnvrh0,155.107735,68.77
24,2024-08-26,osmo1p9ux2hlh63grl99qtqt5jr4fmhjmm7shrs8htg,190.0,84.24
25,2024-08-26,osmo1pxaa4fnlxuamfpvu6a35nn637tdevcq442l80k,73.677841,32.67
