,date,delegator_address,delegation,delegation_usd
0,2024-08-26,stars1qqays2hpyw2zy3qhvvvhp8w953hqc8lajpkjt9,17656.042952,148.64
1,2024-08-26,stars1qz02x57fyjdzs5emzx4mvvgx8vpgv7fte69stk,3000.0,25.26
2,2024-08-26,stars1qgme8vlq4ly8tcye6xdgxnz4khzq9es0wtdts8,966.717063,8.14
3,2024-08-26,stars1q2glzcjnxu8r3usulev7uqr0kq2md6k05ns5pf,770.196913,6.48
4,2024-08-26,stars1qvvx9klz3l7xmv20v37ytzw62ddjsj8x0vuk46,419.586344,3.53
5,2024-08-26,stars1qdk93dynkz7nv7ljqk2rfh9d7w00gdzpdl2ugk,19449.0,163.73
6,2024-08-26,stars1q0py26rmyfaeyw5gptx2srtpwgltszj53sy8ec,6639.982847,55.9
7,2024-08-26,stars1q0v8rn6m0tr59mhyjapg5940qznnf6keznzuxm,5174.928609,43.57
8,2024-08-26,stars1qnwug5ze2k2pfj6cshr3ycv73qn8dpyzr7sncg,356.45424,3.0
9,2024-08-26,stars1p8n54xnfy9nyseyy29rr9nxnwhlgqysse8v54y,1230.0,10.35
10,2024-08-26,stars1p84l9lk0ue4w25qc7e7esca98wqehwtv82ysw3,2719.986649,22.9
11,2024-08-26,stars1pgg64deqknuqd5hqpzha8clgkm3puv7gapplzf,22160.0,186.56
12,2024-08-26,stars1ptxfhlh83vp9yxkgfjffvxrp226jc6xqtguzrl,2130.628584,17.94
13,2024-08-26,stars1ptkyz90pfemjy5dvnwyuexn72pv8qdks2n6n0v,1000.0,8.42
14,2024-08-26,stars1pvjdpz5t23hy7wfv30cj03hhs3rufkpf9fredz,5682.929002,47.84
15,2024-08-26,stars1pd6v70ta0smp448c07ctfpa5f2jpu5ty9r93y5,7760.0,65.33
16,2024-08-26,stars1pszr6zt6072v22zwfkfg59tna6kvv0l2wze43y,31459.762511,264.85
17,2024-08-26,stars1pjwcz9amjvk939jyjryjxwndvmm8x3gmxkn5x9,155.0,1.3
18,2024-08-26,stars1pcuqp8ntfctqzdavsfwexsh9zqqqhzsr96705c,100000.0,841.86
19,2024-08-26,stars1penglcm6kls4qxa6pac8t8ntjagugcezsj5xaf,1051.0,8.85
20,2024-08-26,stars1zpwad83p53gg3nh08657udqgfadpxavxqpv6jq,50000.0,420.93
21,2024-08-26,stars1zyvmr807h0ph5uq04gdflg5jsvphfdsn2h7zql,2555.430824,21.51
22,2024-08-26,stars1z9tc2ln0cak4p4v3xld567gd4rrpxmdrxh035e,102006.011351,858.74
23,2024-08-26,stars1z97paefs6s9tm38fq5ekpcd9l4fkzeeq9gu3ks,1701.0,14.32
24,2024-08-26,stars1zxk9h3434pgwc69k6mvmawmkhc97zrucnzl7re,1002.999609,8.44
25,2024-08-26,stars1zspwc708pfad0q8r45dxkdd8k6juzq68kjyzql,770.0,6.48
26,2024-08-26,stars1zcy7h9vpj2g4w0xw3ta3ky977z6e6ht03dkjg3,20000.520024,168.38
27,2024-08-26,stars1z6xhusljudrts8capy9c59dvmfwrdehhl659u0,846.814375,7.13
28,2024-08-26,stars1z76mrew6q6644nyrflz9qhtzshv56wk7a8ltuj,271.308137,2.28
29,2024-08-26,stars1rrjrg75w7k0r3qv90qp0phemt9plajn5xmx205,20000.0,168.37
30,2024-08-26,stars1rge938qwk7gslmmy02v2cfwreuc5lh7js8xwzn,520.0,4.38
31,2024-08-26,stars1rfpr2aljtjdpchmg9w9pw47wh3pgcds62dmwaa,3001.1,25.26
32,2024-08-26,stars1rfk0tqnc9shwsavrhyw3kdzecstes67vtz4axv,500000.0,4209.28
33,2024-08-26,stars1r54xcpm6ujh3tkr3m0x90fppc3fqrtgahu53gh,20359.572513,171.4
34,2024-08-26,stars1rhmpyk2fprhmasv97wgrg7u4lh7kqrx3dm7j4h,1002.0,8.44
35,2024-08-26,stars1reyunc7qjr4vfg9kpmv65csnl7ycc3rv7h7glj,750.0,6.31
36,2024-08-26,stars1y97ldlkpvwncxfxd3etmzgwdsl5h8wem237t0r,7685.130043,64.7
37,2024-08-26,stars1yxtzah7a8rs0s367t9wn6jcyvkgkuns9nlsuf2,400.0,3.37
38,2024-08-26,stars1ygmvgk5avv6xr4px3q88g4ys3sk2cftzqd0ts0,400.0,3.37
39,2024-08-26,stars1yfn0ewdq6ezn66a06eqzw53ywwqmqq0054czuy,1681.443826,14.16
40,2024-08-26,stars1ynjn8s97rlxac4hjyngerqjzhs9kucu2p50pfw,5000.0,42.09
41,2024-08-26,stars1ynnar5gyj8zx0rv8ujvzuffjh9ht4t6mn7arx0,2700.0,22.73
