,date,delegator_address,delegation,delegation_usd
0,2024-08-26,tori1qz9ml20945genaszrxvk7zxch6cn8jc2steg8x,661.09,1.8
1,2024-08-26,tori1qr6gggq8953qetshu7l03m85cmdlet8lgflkrm,1223.096857,3.33
2,2024-08-26,tori1q8qkghenqacqeq5phgmny42pfuxmmuhlvv6r27,32596.30848,88.63
3,2024-08-26,tori1qgelrd9hfxesuy2fta7dxy2sfrhdpg0dkjywk2,500.000006,1.36
4,2024-08-26,tori1qtrm4jrfmtx2rgdet09shezuvh0vv5v5plwzgf,407.1,1.11
5,2024-08-26,tori1qty2vwpnz5g2p6qqls7se9fgtxptytzhle45rk,31557.054605,85.81
6,2024-08-26,tori1qwllt7ztgexcrqg5lmpg94vjlqte2m0qud48k2,1443.375341,3.92
7,2024-08-26,tori1qslfl8rk9znhsmfmu0pf4w23ere6dpqw9yu0hv,32000.0,87.01
8,2024-08-26,tori1q4jarumugqc4vvmq2cy6fjddwfje95v4l6j0uw,579.536156,1.58
9,2024-08-26,tori1qkjcqvwclse06h5zvznhnp9ngvzz74z5hctqqz,418.713726,1.14
10,2024-08-26,tori1qh25fcfkwh0mxcdh5563kgyylq77fqepm954hh,1948.044775,5.3
11,2024-08-26,tori1qh0f8s6r5kckvrne6xr5qyn23vu3zxfqjjqhj9,1593.965369,4.33
12,2024-08-26,tori1quv00c7fu7mgx7h08dftx78ldj50uvzgy7srwl,1500.0,4.08
13,2024-08-26,tori1q7hl5rd4l7nwmt73y3hvqjv6hawyl60rqjgnsy,836.0,2.27
14,2024-08-26,tori1pzwel4a5ft2256au8xqy89k04yxavgs5vnyjuk,710.809274,1.93
15,2024-08-26,tori1prry8nyvzuaw0hcj4au3lyd7gkwr4cw03x3g3n,607.341268,1.65
16,2024-08-26,tori1prkt7s379wupzh8nmuefa9hw5xyddqwk3t4q4a,1701.705594,4.63
17,2024-08-26,tori1pxwf54vafuqyu84ujjevr7xgcws78spps66dzw,1825.158676,4.96
18,2024-08-26,tori1pf66z5quqsq3nw06splgmrdhhjwuc6smjyj84t,1406.002477,3.82
19,2024-08-26,tori1ptxfhlh83vp9yxkgfjffvxrp226jc6xqaqukn7,858.579547,2.33
20,2024-08-26,tori1pv8u5y23yq6kvqr4rdxx9hgcqz0dkrgvd0j0cx,60029.0,163.22
21,2024-08-26,tori1pvjdpz5t23hy7wfv30cj03hhs3rufkpfnprdar,1169.965773,3.18
22,2024-08-26,tori1pd6v70ta0smp448c07ctfpa5f2jpu5tynt9954,21509.199999,58.49
23,2024-08-26,tori1pwn8j7n98l4j2vt5cmjk57knspl8xdt62acerv,1701.945522,4.63
24,2024-08-26,tori1pwchad2ymm9tvpfmgr59sptkm3ate3p6uxdp4h,33733.8595,91.73
25,2024-08-26,tori1pszr6zt6072v22zwfkfg59tna6kvv0l2c2epp9,15355.0,41.75
26,2024-08-26,tori1p3dcg6mhxe0nhfuw73jy9fwhsk9ekwm6kuqncm,460.361313,1.25
27,2024-08-26,tori1p4vqm4j3devhwq9pxrsxgx4gkmdhaq0szl9r39,713.568963,1.94
28,2024-08-26,tori1p454fm4rerxddn0uppen8hvckceylf7pufam6e,381000.0,1035.97
29,2024-08-26,tori1phxzzqftrxyx6f84ge8xyzpy5mgns5cq8ny0ud,662.429,1.8
30,2024-08-26,tori1pcgfl7m9r2ufldwzasvku05zmwsj7gvywnfga5,376.0,1.02
31,2024-08-26,tori1p6d99u63px38xf96vy9a2r0dvuuj3p8jsnvngt,620.157019,1.69
32,2024-08-26,tori1p7pxhn6s25qjrjlqgvxa8q35mp6rl0994wjjn0,795.62912,2.16
33,2024-08-26,tori1p702gnhy57a4yp9c6kajqdq03eq7ndavryvv46,453.763895,1.23
34,2024-08-26,tori1zpwad83p53gg3nh08657udqgfadpxavxkfvwzp,3600.0,9.79
35,2024-08-26,tori1zrssy4vnh0cpa6muajxgplk3rxt4agznsylcag,1243.129899,3.38
36,2024-08-26,tori1zyvmr807h0ph5uq04gdflg5jsvphfdsnul7ks7,20000.0,54.38
37,2024-08-26,tori1zysg9huvy298wc2x4efdqh3gu7kxyyx4cnnxxu,494999.0,1345.95
38,2024-08-26,tori1z9tc2ln0cak4p4v3xld567gd4rrpxmdrsl09yc,2036.519584,5.54
39,2024-08-26,tori1z9nqkcmcld8mjmahvcwwx7thsk5n9l3g8gadx7,3404.667432,9.26
40,2024-08-26,tori1zx90dztp8f9kcnmg4hggvwz7r0rx0cjk9jph8c,3988.886748,10.85
41,2024-08-26,tori1zxsezt42dugf98au57mtcsyl2wymwd7lkhzg9u,3089.308272,8.4
42,2024-08-26,tori1zxk9h3434pgwc69k6mvmawmkhc97zruc92l2nc,2379.556008,6.47
43,2024-08-26,tori1z8zyckttkkgtp9s2vdyc8hd5nu4x6keuhaj7zh,7752.799892,21.08
44,2024-08-26,tori1zgd6069zp596w50xym0rw3y55xf5srjnpn85n6,1520.13,4.13
45,2024-08-26,tori1zge6570h52v2ct8m5h56j0awg3h454rau5dcwr,2189.196215,5.95
46,2024-08-26,tori1zgaj2w950llsludydz5xmcp609uk02ysn72v8k,1875.410318,5.1
